question_id,question,reference_answer,generated_answer,cosine_similarity_pct,classification
1,ماهو نظام القبول في الجامعة وماذا يعني القبول السنوي؟,قبول المنح الداخلية والخارجية يخضع لمعايير عديدة، ويتم بعدها رفع بيانات المرشحين لوزارة التعليم لأخذ الموافقات اللازمة وإبلاغ المقبولين عبر رسائل الجوال أو الإيميل.,ويتم بعدها رفع بيانات المرشحين لوزارة التعليم لأخذ الموافقات اللازمة وإبلاغ المقبولين عبر رسائل الجوال أو الإيميل.، قبول المنح الداخلية والخارجية يخضع لمعايير عديدة,98.77,مرتفع
2,كيف أقوم بطلب بنر (سلايدر) رئيسي متحرك على موقع الجامعة؟,"رفع الإعلان أو الخبر من خلال مسؤول القطاع.
يقوم المركز الإعلامي بالاطلاع على الإعلان أو الخبر المقدم من الجهة من خلال النظام والموافقة عليه.
يقوم المركز الإعلامي بالتواصل مع تقنية المعلومات لطلب وضع بنر (سلايدر) رئيسي على موقع الجامعة مع التزويد برابط الإعلان أو الخبر المطلوب ربطه بالبنر.","يقوم المركز الإعلامي بالاطلاع على الإعلان أو الخبر المقدم من الجهة من خلال النظام والموافقة عليه.
رفع الإعلان أو الخبر من خلال مسؤول القطاع.
يقوم المركز الإعلامي بالتواصل مع تقنية المعلومات لطلب وضع بنر (سلايدر) رئيسي على موقع الجامعة مع التزويد برابط الإعلان أو الخبر المطلوب ربطه بالبنر.",99.0,مرتفع
3,كيف أبحث عن تحويلة موظف؟,"عن طريق الدخول إلى ""دليل المنسوبين"" في موقع الجامعة – تبويب موظفون أو أعضاء هيئة التدريس – المزيد من الخدمات، أو الاتصال على سنترال الجامعة (8888).
اضغط هنا للدخول على قاعدة المعرفة.","اضغط هنا للدخول على قاعدة المعرفة.
عن طريق الدخول إلى ""دليل المنسوبين"" في موقع الجامعة – تبويب موظفون أو أعضاء هيئة التدريس – المزيد من الخدمات، أو الاتصال على سنترال الجامعة (8888).",98.64,مرتفع
4,أريد إضافة (الصفر) إلى التحويلة؟,"إذا كان طالب الخدمة (وكيل/ة أو رئيس/ة قسم):
رفع خطاب رسمي إلى عمادة تقنية المعلومات بطلب إضافة (الصفر) إلى التحويلة مع ذكر كامل البيانات بالإضافة إلى رقم التحويلة وإرفاق قرار التكليف.
إذا كان طالب الخدمة (موظف/ة):
رفع خطاب رسمي من وكيل/ة القسم إلى عمادة تقنية المعلومات بطلب إضافة (الصفر) إلى التحويلة مع ذكر كامل البيانات بالإضافة إلى رقم التحويلة فقط.","رفع خطاب رسمي إلى عمادة تقنية المعلومات بطلب إضافة (الصفر) إلى التحويلة مع ذكر كامل البيانات بالإضافة إلى رقم التحويلة وإرفاق قرار التكليف.
إذا كان طالب الخدمة (وكيل/ة أو رئيس/ة قسم):
إذا كان طالب الخدمة (موظف/ة):
رفع خطاب رسمي من وكيل/ة القسم إلى عمادة تقنية المعلومات بطلب إضافة (الصفر) إلى التحويلة مع ذكر كامل البيانات بالإضافة إلى رقم التحويلة فقط.",98.53,مرتفع
5,عند تحديث البيانات في الخدمات الذاتية لا يتم قبول البيانات المدخلة في الحقول التي تحتوي على (مجهر / مكبر)؟,"هناك شرح في قاعدة المعرفة (الرابط).
لابد من تعبئة هذا النوع من الحقول عن طريق الضغط على (المجهر/المكبر) والاختيار من القائمة الموجودة، ومن ثم النقر على (انتقال) لكي تظهر الخيارات المتاحة.","لابد من تعبئة هذا النوع من الحقول عن طريق الضغط على (المجهر/المكبر) والاختيار من القائمة الموجودة، ومن ثم النقر على (انتقال) لكي تظهر الخيارات المتاحة.
هناك شرح في قاعدة المعرفة (الرابط).",96.64,مرتفع
6,أريد تغيير كلمة مرور الخدمات الذاتية؟,توجه إلى خدمة استعادة كلمة مرور الخدمات الذاتية (الرابط).,كلمة مرور الخدمات الذاتية (الرابط). توجه إلى خدمة استعادة,94.75,مرتفع
7,كيف استعيد اسم المستخدم وكلمة مرور الحساب الشبكي؟,يجب عليك مراجعة مكتب خدمة العملاء وإحضار الهوية للتحقق من طالب الحساب، أو الاتصال على خدمة العملاء (8080).,أو الاتصال على خدمة العملاء (8080).، يجب عليك مراجعة مكتب خدمة العملاء وإحضار الهوية للتحقق من طالب الحساب,98.06,مرتفع
8,كيف أطلب جهاز كمبيوتر؟,"يتم طلب جهاز الكمبيوتر بتوجيه خطاب من مدير الإدارة أو العميد أو الوكيل إلى إدارة المستودعات، أو إرسالها إلى بريد إدارة المستودعات:
whd@taibahu.edu.sa","whd@taibahu.edu.sa
يتم طلب جهاز الكمبيوتر بتوجيه خطاب من مدير الإدارة أو العميد أو الوكيل إلى إدارة المستودعات، أو إرسالها إلى بريد إدارة المستودعات:",98.7,مرتفع
9,ماهي آلية وشروط الاستفادة من التشغيل الطلابي؟,"يتم ترشيح الطلبة المستهدف تشغيلهم خلال الفصل الدراسي عن طريق كلياتهم أو عن طريق وكالات عمادة شؤون الطلاب، بالتنسيق مع إدارة صندوق الطالب بعمادة شؤون الطلاب.
ينبغي مراعاة عدم السماح للطالب/ــة بالجمع بين فرصتي تشغيل خلال الفصل الدراسي الواحد.
ألا تزيد عدد ساعات العمل لكل جهة عن الساعات المحددة.
ترسل قوائم تشغيل الطالب/ــة لعمادة شؤون الطلاب، لاعتمادها وصرف مستحقات الطالب/ــة بعد نهاية فترة التشغيل.
ترفع كشوف التشغيل بمرفقاتها قبل نهاية الفصل الدراسي بأسبوعين، علماً بأن تأخر الرفع يترتب عليه تأخير صرف المستحقات للفصل الذي يليه.
يحق للطالب/ــة التشغيل بالفصل الدراسي شهرين فقط حسب الضوابط المحددة.","ينبغي مراعاة عدم السماح للطالب/ــة بالجمع بين فرصتي تشغيل خلال الفصل الدراسي الواحد.
يتم ترشيح الطلبة المستهدف تشغيلهم خلال الفصل الدراسي عن طريق كلياتهم أو عن طريق وكالات عمادة شؤون الطلاب، بالتنسيق مع إدارة صندوق الطالب بعمادة شؤون الطلاب.
ألا تزيد عدد ساعات العمل لكل جهة عن الساعات المحددة.
ترسل قوائم تشغيل الطالب/ــة لعمادة شؤون الطلاب، لاعتمادها وصرف مستحقات الطالب/ــة بعد نهاية فترة التشغيل.
ترفع كشوف التشغيل بمرفقاتها قبل نهاية الفصل الدراسي بأسبوعين، علماً بأن تأخر الرفع يترتب عليه تأخير صرف المستحقات للفصل الذي يليه.
يحق للطالب/ــة التشغيل بالفصل الدراسي شهرين فقط حسب الضوابط المحددة.",96.85,مرتفع
10,ماهي آلية وشروط الاستفادة من القروض الطلابية؟,"أن يكون الطالب/ــة من طلاب الجامعة المنتظمين خلال الفصل الدراسي الذي تقدم فيه بطلب القرض.
أن يكون الطالب/ــة من الذين تصرف لهم مكافآت.
ألا يقل معدل الطالب/ــة التراكمي في الفصل الدراسي عن 2.50 من 5.
ألا يكون صدر بحق الطالب/ــة عقوبة تأديبية.
الحد الأقصى لقيمة القرض 1000 ريال، وما زاد على ذلك يعرض على إدارة صندوق الطالب.
يقسط المبلغ المقترض على أقساط شهرية لا تقل عن 250 ريال في كل شهر.
ألا يكون لدى الطالب/ــة قرض سابق.
تكون المدة المتبقية لدراسة الطالب/ــة في الجامعة كافية لتغطية مبلغ القرض المطلوب.
يحل موعد سداد كل الأقساط المتبقية دفعة واحدة إذا انتهت علاقة الطالب/ــة بالجامعة سواء بالانسحاب أو التخرج أو الفصل.
في حالة طلب القرض لتأمين جهاز تعليمي، يتم إرفاق عرض بسعر الجهاز المطلوب مصدق من المؤسسة التجارية.","أن يكون الطالب/ــة من الذين تصرف لهم مكافآت.
أن يكون الطالب/ــة من طلاب الجامعة المنتظمين خلال الفصل الدراسي الذي تقدم فيه بطلب القرض.
ألا يقل معدل الطالب/ــة التراكمي في الفصل الدراسي عن 2.50 من 5.
ألا يكون صدر بحق الطالب/ــة عقوبة تأديبية.
الحد الأقصى لقيمة القرض 1000 ريال، وما زاد على ذلك يعرض على إدارة صندوق الطالب.
يقسط المبلغ المقترض على أقساط شهرية لا تقل عن 250 ريال في كل شهر.
ألا يكون لدى الطالب/ــة قرض سابق.
تكون المدة المتبقية لدراسة الطالب/ــة في الجامعة كافية لتغطية مبلغ القرض المطلوب.
يحل موعد سداد كل الأقساط المتبقية دفعة واحدة إذا انتهت علاقة الطالب/ــة بالجامعة سواء بالانسحاب أو التخرج أو الفصل.
في حالة طلب القرض لتأمين جهاز تعليمي، يتم إرفاق عرض بسعر الجهاز المطلوب مصدق من المؤسسة التجارية.",99.0,مرتفع
