question_id,question,reference_answer,generated_answer,q_chunk_match_pct,cosine_similarity_pct,classification,notes
1,ماهو نظام القبول في الجامعة وماذا يعني القبول السنوي؟,قبول المنح الداخلية والخارجية يخضع لمعايير عديدة، ويتم بعدها رفع بيانات المرشحين لوزارة التعليم لأخذ الموافقات اللازمة وإبلاغ المقبولين عبر رسائل الجوال أو الإيميل.,"القسم الأول: مقررات المتطلبات العامة
بعد الاختبار
1. تتولى الكلية المستفيدة تسليم أوراق الإجابة لأستاذ المقرر مباشرة للتصحيح.",52.44,65.61,مرتفع,chunk_id=general_education_elective_courses_policy_cleaned-0044 | from_file=general_education_elective_courses_policy_cleaned.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=52.44%)
2,كيف أقوم بطلب بنر (سلايدر) رئيسي متحرك على موقع الجامعة؟,"رفع الإعلان أو الخبر من خلال مسؤول القطاع.
يقوم المركز الإعلامي بالاطلاع على الإعلان أو الخبر المقدم من الجهة من خلال النظام والموافقة عليه.
يقوم المركز الإعلامي بالتواصل مع تقنية المعلومات لطلب وضع بنر (سلايدر) رئيسي على موقع الجامعة مع التزويد برابط الإعلان أو الخبر المطلوب ربطه بالبنر.","ثالثاً: قنوات تقديم الشكوى
- النظام الإلكتروني
- البريد الإلكتروني
- مكاتب الدعم الطلابي
- التواصل المباشر

شرح:
الأفضل استخدام النظام الإلكتروني لأنه موثق وأسهل للمتابعة.",38.1,53.89,متوسط,chunk_id=تنظيم تقديم الشكاوى وضمان العدالة والشفافية للطلاب بالعربي-0005 | from_file=تنظيم تقديم الشكاوى وضمان العدالة والشفافية للطلاب بالعربي.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=38.10%)
3,كيف أبحث عن تحويلة موظف؟,"عن طريق الدخول إلى ""دليل المنسوبين"" في موقع الجامعة – تبويب موظفون أو أعضاء هيئة التدريس – المزيد من الخدمات، أو الاتصال على سنترال الجامعة (8888).
اضغط هنا للدخول على قاعدة المعرفة.","المادة الثامنة: الجهة المسؤولة
تتولى عمادة شؤون الطلاب، بالتنسيق مع إدارة الأمن الجامعي والسلامة العامة، ووحدات الكليات، مسؤولية متابعة تنفيذ هذه الضوابط وتلقي البلاغات المتعلقة بها.",23.85,56.4,متوسط,chunk_id=taibah_dress_code_ar-0008 | from_file=taibah_dress_code_ar.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=23.85%)
4,أريد إضافة (الصفر) إلى التحويلة؟,"إذا كان طالب الخدمة (وكيل/ة أو رئيس/ة قسم):
رفع خطاب رسمي إلى عمادة تقنية المعلومات بطلب إضافة (الصفر) إلى التحويلة مع ذكر كامل البيانات بالإضافة إلى رقم التحويلة وإرفاق قرار التكليف.
إذا كان طالب الخدمة (موظف/ة):
رفع خطاب رسمي من وكيل/ة القسم إلى عمادة تقنية المعلومات بطلب إضافة (الصفر) إلى التحويلة مع ذكر كامل البيانات بالإضافة إلى رقم التحويلة فقط.","الفصل السادس: التحويل والمعادلة
القواعد التنفيذية للمادة الثالثة والعشرين
5. أن تقدم طلبات التحويل لعمادة القبول والتسجيل خلال الفترة المعلنة في التقويم الجامعي.",33.61,59.48,متوسط,chunk_id=taibah_academic_regulations_ar.txt-0092 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=33.61%)
5,عند تحديث البيانات في الخدمات الذاتية لا يتم قبول البيانات المدخلة في الحقول التي تحتوي على (مجهر / مكبر)؟,"هناك شرح في قاعدة المعرفة (الرابط).
لابد من تعبئة هذا النوع من الحقول عن طريق الضغط على (المجهر/المكبر) والاختيار من القائمة الموجودة، ومن ثم النقر على (انتقال) لكي تظهر الخيارات المتاحة.","القسم الثاني: المقررات الاختيارية الحرة
يندرج ضمن هذا البند عدد من المسؤوليات
٣. ضبط آلية التسجيل التلقائي، وتفعيل خيارات الحذف والإضافة ضمن الفترات الرسمية.",22.35,52.97,متوسط,chunk_id=general_education_elective_courses_policy_cleaned-0056 | from_file=general_education_elective_courses_policy_cleaned.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=22.35%)
6,أريد تغيير كلمة مرور الخدمات الذاتية؟,توجه إلى خدمة استعادة كلمة مرور الخدمات الذاتية (الرابط).,"الباب الثالث: الشروط والأنظمة
ثالثاً: ضوابط الدخول والخروج للإسكان الطلابي
6. يمكن الاستفادة من الخدمات الرسمية الإلكترونية مثل أبشر.",32.17,38.18,متوسط,chunk_id=taibah_student_housing_rules_ar-0055 | from_file=taibah_student_housing_rules_ar.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=32.17%)
7,كيف استعيد اسم المستخدم وكلمة مرور الحساب الشبكي؟,يجب عليك مراجعة مكتب خدمة العملاء وإحضار الهوية للتحقق من طالب الحساب، أو الاتصال على خدمة العملاء (8080).,"الخطوات
1. تقديم الشكوى
2. مراجعتها
3. معالجتها
4. الرد عليك

شرح:
تستخدمها إذا المشكلة في: التسجيل، الجداول، الخدمات.",21.12,45.01,متوسط,chunk_id=تنظيم تقديم الشكاوى وضمان العدالة والشفافية للطلاب بالعربي-0009 | from_file=تنظيم تقديم الشكاوى وضمان العدالة والشفافية للطلاب بالعربي.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=21.12%)
8,كيف أطلب جهاز كمبيوتر؟,"يتم طلب جهاز الكمبيوتر بتوجيه خطاب من مدير الإدارة أو العميد أو الوكيل إلى إدارة المستودعات، أو إرسالها إلى بريد إدارة المستودعات:
whd@taibahu.edu.sa","Steps
1. Submit the request
- Log into the system or the competent authority
- Write the complaint clearly

2. Attach evidence
- Such as: grades, emails, photos, documents

3. Specify the type of complaint
- Academic/Administrative/Behavioral

4. Send the request",32.61,52.64,متوسط,chunk_id=تنظيم تقديم الشكاوى وضمان العدالة والشفافية للطلاب با الانجليزي-0006 | from_file=تنظيم تقديم الشكاوى وضمان العدالة والشفافية للطلاب با الانجليزي.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=32.61%)
9,ماهي آلية وشروط الاستفادة من التشغيل الطلابي؟,"يتم ترشيح الطلبة المستهدف تشغيلهم خلال الفصل الدراسي عن طريق كلياتهم أو عن طريق وكالات عمادة شؤون الطلاب، بالتنسيق مع إدارة صندوق الطالب بعمادة شؤون الطلاب.
ينبغي مراعاة عدم السماح للطالب/ــة بالجمع بين فرصتي تشغيل خلال الفصل الدراسي الواحد.
ألا تزيد عدد ساعات العمل لكل جهة عن الساعات المحددة.
ترسل قوائم تشغيل الطالب/ــة لعمادة شؤون الطلاب، لاعتمادها وصرف مستحقات الطالب/ــة بعد نهاية فترة التشغيل.
ترفع كشوف التشغيل بمرفقاتها قبل نهاية الفصل الدراسي بأسبوعين، علماً بأن تأخر الرفع يترتب عليه تأخير صرف المستحقات للفصل الذي يليه.
يحق للطالب/ــة التشغيل بالفصل الدراسي شهرين فقط حسب الضوابط المحددة.","القسم الثاني: المقررات الاختيارية الحرة
٢-٣: ضوابط تسجيل الطالب في المقررات الحرة

١. منع التكرار أو التداخل الأكاديمي: لا يحق للطالب تسجيل مقرر حر إذا كان المقرر ضمن خطته الدراسية، أو مكافئاً لأحد مقررات تخصصه الأكاديمي.

٢. أولوية التسجيل: تُمَنَح الأسبقية لطلبة البرنامج الأصلي للمقرر، وتكون داخل البرنامج للطلبة المنتظمين وفق خططهم الدراسية ثم المتوقع تخرجهم؛ ثم يُفتح التسجيل لطلبة من خارج التخصص شريطة أن يكون المقرر مستحقاً في خطتهم وبالمستوى الدراسي للطالب ودون تعارض.

٣. التنقل بين الكليات: يحق للطالب التسجيل بالمقررات الحرة من أي كلية داخل الجامعة، مع ضرورة عدم وجود تعارض أكاديمي في جدول الطالب، وفي الفرع الذي يدرس به.",61.67,70.37,مرتفع,chunk_id=general_education_elective_courses_policy_cleaned-0049 | from_file=general_education_elective_courses_policy_cleaned.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=61.67%)
10,ماهي آلية وشروط الاستفادة من القروض الطلابية؟,"أن يكون الطالب/ــة من طلاب الجامعة المنتظمين خلال الفصل الدراسي الذي تقدم فيه بطلب القرض.
أن يكون الطالب/ــة من الذين تصرف لهم مكافآت.
ألا يقل معدل الطالب/ــة التراكمي في الفصل الدراسي عن 2.50 من 5.
ألا يكون صدر بحق الطالب/ــة عقوبة تأديبية.
الحد الأقصى لقيمة القرض 1000 ريال، وما زاد على ذلك يعرض على إدارة صندوق الطالب.
يقسط المبلغ المقترض على أقساط شهرية لا تقل عن 250 ريال في كل شهر.
ألا يكون لدى الطالب/ــة قرض سابق.
تكون المدة المتبقية لدراسة الطالب/ــة في الجامعة كافية لتغطية مبلغ القرض المطلوب.
يحل موعد سداد كل الأقساط المتبقية دفعة واحدة إذا انتهت علاقة الطالب/ــة بالجامعة سواء بالانسحاب أو التخرج أو الفصل.
في حالة طلب القرض لتأمين جهاز تعليمي، يتم إرفاق عرض بسعر الجهاز المطلوب مصدق من المؤسسة التجارية.","الفصل التاسع: التقديرات
المادة السابعة والثلاثون:
يكون التقدير العام للمعدل التراكمي عند تخرج الطالب بناءً على معدله التراكمي كالآتي:
1. ممتاز: إذا كان المعدل التراكمي لا يقل عن 4.50 من 5.00 أو لا يقل عن 3.50 من 4.00.
2. جيد جداً: إذا كان المعدل التراكمي من 3.75 إلى أقل من 4.50 من 5.00 أو من 2.75 إلى أقل من 3.50 من 4.00.
3. جيد: إذا كان المعدل التراكمي من 2.75 إلى أقل من 3.75 من 5.00 أو من 2.00 إلى أقل من 2.75 من 4.00.
4. مقبول: إذا كان المعدل التراكمي من 2.00 إلى أقل من 2.75 من 5.00 أو من 1.00 إلى أقل من 1.75 من 4.00.",43.63,77.55,مرتفع,chunk_id=taibah_academic_regulations_ar.txt-0153 | from_file=taibah_academic_regulations_ar.txt.txt | best_answer_cosine over all chunks with q_chunk cos>=0.100 (selected q_ch pct=43.63%)
