question_id,question,reference_answer,generated_answer,cosine_similarity_pct,classification,notes
1,ماهو نظام القبول في الجامعة وماذا يعني القبول السنوي؟,قبول المنح الداخلية والخارجية يخضع لمعايير عديدة، ويتم بعدها رفع بيانات المرشحين لوزارة التعليم لأخذ الموافقات اللازمة وإبلاغ المقبولين عبر رسائل الجوال أو الإيميل.,"قبول المنح الداخلية والخارجية يخضع لمعايير عديدة، ويتم بعدها رفع بيانات المرشحين لوزارة التعليم لأخذ الموافقات اللازمة وإبلاغ المقبولين عبر رسائل الجوال أو الإيميل
المصدر المعتمد: [أسئلة شائعة] ماهو نظام القبول في الجامعة وماذا يعني القبول السنوي؟

⚠️ تنبيه: تعذّر إيجاد نص صريح يجيب على سؤالك بدقة عالية؛ يُنصح بمراجعة الدليل الجامعي أو الجهة المختصة للتحقق.",88.01,مرتفع,confidence=low route=general
2,كيف أقوم بطلب بنر (سلايدر) رئيسي متحرك على موقع الجامعة؟,"رفع الإعلان أو الخبر من خلال مسؤول القطاع.
يقوم المركز الإعلامي بالاطلاع على الإعلان أو الخبر المقدم من الجهة من خلال النظام والموافقة عليه.
يقوم المركز الإعلامي بالتواصل مع تقنية المعلومات لطلب وضع بنر (سلايدر) رئيسي على موقع الجامعة مع التزويد برابط الإعلان أو الخبر المطلوب ربطه بالبنر.","يقوم المركز الإعلامي بالتواصل مع تقنية المعلومات لطلب وضع بنر (سلايدر) رئيسي على موقع الجامعة مع التزويد برابط الإعلان أو الخبر المطلوب ربطه بالبنر يقوم المركز الإعلامي بالاطلاع على الإعلان أو الخبر المقدم من الجهة من خلال النظام والموافقة عليه
المصدر المعتمد: [أسئلة شائعة] كيف أقوم بطلب بنر (سلايدر) رئيسي متحرك على موقع الجامعة؟",90.06,مرتفع,confidence=medium route=general
3,كيف أبحث عن تحويلة موظف؟,"عن طريق الدخول إلى ""دليل المنسوبين"" في موقع الجامعة – تبويب موظفون أو أعضاء هيئة التدريس – المزيد من الخدمات، أو الاتصال على سنترال الجامعة (8888).
اضغط هنا للدخول على قاعدة المعرفة.",لم أجد إجابة صريحة في المصادر الجامعية المعتمدة.,,مستبعد,إجابة غير صالحة: نص فارغ/قصير جداً أو رد الـfallback الرسمي.
4,أريد إضافة (الصفر) إلى التحويلة؟,"إذا كان طالب الخدمة (وكيل/ة أو رئيس/ة قسم):
رفع خطاب رسمي إلى عمادة تقنية المعلومات بطلب إضافة (الصفر) إلى التحويلة مع ذكر كامل البيانات بالإضافة إلى رقم التحويلة وإرفاق قرار التكليف.
إذا كان طالب الخدمة (موظف/ة):
رفع خطاب رسمي من وكيل/ة القسم إلى عمادة تقنية المعلومات بطلب إضافة (الصفر) إلى التحويلة مع ذكر كامل البيانات بالإضافة إلى رقم التحويلة فقط.","رفع خطاب رسمي إلى عمادة تقنية المعلومات بطلب إضافة (الصفر) إلى التحويلة مع ذكر كامل البيانات بالإضافة إلى رقم التحويلة وإرفاق قرار التكليف رفع خطاب رسمي من وكيل/ة القسم إلى عمادة تقنية المعلومات بطلب إضافة (الصفر) إلى التحويلة مع ذكر كامل البيانات بالإضافة إلى رقم التحويلة فقط
المصدر المعتمد: [أسئلة شائعة] أريد إضافة (الصفر) إلى التحويلة؟

⚠️ تنبيه: تعذّر إيجاد نص صريح يجيب على سؤالك بدقة عالية؛ يُنصح بمراجعة الدليل الجامعي أو الجهة المختصة للتحقق.",78.99,مرتفع,confidence=low route=general
5,عند تحديث البيانات في الخدمات الذاتية لا يتم قبول البيانات المدخلة في الحقول التي تحتوي على (مجهر / مكبر)؟,"هناك شرح في قاعدة المعرفة (الرابط).
لابد من تعبئة هذا النوع من الحقول عن طريق الضغط على (المجهر/المكبر) والاختيار من القائمة الموجودة، ومن ثم النقر على (انتقال) لكي تظهر الخيارات المتاحة.","لابد من تعبئة هذا النوع من الحقول عن طريق الضغط على (المجهر/المكبر) والاختيار من القائمة الموجودة، ومن ثم النقر على (انتقال) لكي تظهر الخيارات المتاحة
المصدر المعتمد: [أسئلة شائعة] عند تحديث البيانات في الخدمات الذاتية لا يتم قبول البيانات المدخلة في الحقول التي تحتوي على (مجهر/مكبر)؟",72.76,مرتفع,confidence=medium route=general
6,أريد تغيير كلمة مرور الخدمات الذاتية؟,توجه إلى خدمة استعادة كلمة مرور الخدمات الذاتية (الرابط).,لم أجد إجابة صريحة في المصادر الجامعية المعتمدة.,,مستبعد,إجابة غير صالحة: نص فارغ/قصير جداً أو رد الـfallback الرسمي.
7,كيف استعيد اسم المستخدم وكلمة مرور الحساب الشبكي؟,يجب عليك مراجعة مكتب خدمة العملاء وإحضار الهوية للتحقق من طالب الحساب، أو الاتصال على خدمة العملاء (8080).,"يجب عليك مراجعة مكتب خدمة العملاء وإحضار الهوية للتحقق من طالب الحساب، أو الاتصال على خدمة العملاء (8080)
المصدر المعتمد: [أسئلة شائعة] كيف استعيد اسم المستخدم وكلمة مرور الحساب الشبكي؟",84.61,مرتفع,confidence=medium route=general
8,كيف أطلب جهاز كمبيوتر؟,"يتم طلب جهاز الكمبيوتر بتوجيه خطاب من مدير الإدارة أو العميد أو الوكيل إلى إدارة المستودعات، أو إرسالها إلى بريد إدارة المستودعات:
whd@taibahu.edu.sa","يتم طلب جهاز الكمبيوتر بتوجيه خطاب من مدير الإدارة أو العميد أو الوكيل إلى إدارة المستودعات، أو إرسالها إلى بريد إدارة المستودعات:
المصدر المعتمد: [أسئلة شائعة] كيف أطلب جهاز كمبيوتر؟",87.42,مرتفع,confidence=medium route=general
9,ماهي آلية وشروط الاستفادة من التشغيل الطلابي؟,"يتم ترشيح الطلبة المستهدف تشغيلهم خلال الفصل الدراسي عن طريق كلياتهم أو عن طريق وكالات عمادة شؤون الطلاب، بالتنسيق مع إدارة صندوق الطالب بعمادة شؤون الطلاب.
ينبغي مراعاة عدم السماح للطالب/ــة بالجمع بين فرصتي تشغيل خلال الفصل الدراسي الواحد.
ألا تزيد عدد ساعات العمل لكل جهة عن الساعات المحددة.
ترسل قوائم تشغيل الطالب/ــة لعمادة شؤون الطلاب، لاعتمادها وصرف مستحقات الطالب/ــة بعد نهاية فترة التشغيل.
ترفع كشوف التشغيل بمرفقاتها قبل نهاية الفصل الدراسي بأسبوعين، علماً بأن تأخر الرفع يترتب عليه تأخير صرف المستحقات للفصل الذي يليه.
يحق للطالب/ــة التشغيل بالفصل الدراسي شهرين فقط حسب الضوابط المحددة.","ينبغي مراعاة عدم السماح للطالب/ــة بالجمع بين فرصتي تشغيل خلال الفصل الدراسي الواحد
المصدر المعتمد: [أسئلة شائعة] ماهي آلية وشروط الاستفادة من التشغيل الطلابي؟",72.63,مرتفع,confidence=medium route=general
10,ماهي آلية وشروط الاستفادة من القروض الطلابية؟,"أن يكون الطالب/ــة من طلاب الجامعة المنتظمين خلال الفصل الدراسي الذي تقدم فيه بطلب القرض.
أن يكون الطالب/ــة من الذين تصرف لهم مكافآت.
ألا يقل معدل الطالب/ــة التراكمي في الفصل الدراسي عن 2.50 من 5.
ألا يكون صدر بحق الطالب/ــة عقوبة تأديبية.
الحد الأقصى لقيمة القرض 1000 ريال، وما زاد على ذلك يعرض على إدارة صندوق الطالب.
يقسط المبلغ المقترض على أقساط شهرية لا تقل عن 250 ريال في كل شهر.
ألا يكون لدى الطالب/ــة قرض سابق.
تكون المدة المتبقية لدراسة الطالب/ــة في الجامعة كافية لتغطية مبلغ القرض المطلوب.
يحل موعد سداد كل الأقساط المتبقية دفعة واحدة إذا انتهت علاقة الطالب/ــة بالجامعة سواء بالانسحاب أو التخرج أو الفصل.
في حالة طلب القرض لتأمين جهاز تعليمي، يتم إرفاق عرض بسعر الجهاز المطلوب مصدق من المؤسسة التجارية.","- أن يكون الطالب/ــة من طلاب الجامعة المنتظمين خلال الفصل الدراسي الذي تقدم فيه بطلب القرض - أن يكون الطالب/ــة من الذين تصرف لهم مكافآت - ألا يكون صدر بحق الطالب/ــة عقوبة تأديبية
المصدر المعتمد: [أسئلة شائعة] ماهي آلية وشروط الاستفادة من القروض الطلابية؟",70.82,مرتفع,confidence=high route=general
