question_id,question,pseudo_reference_answer,generated_answer,cosine_similarity_pct,classification,notes
1,ماهو نظام القبول في الجامعة وماذا يعني القبول السنوي؟,قبول المنح الداخلية والخارجية يخضع لمعايير عديدة، ويتم بعدها رفع بيانات المرشحين لوزارة التعليم لأخذ الموافقات اللازمة وإبلاغ المقبولين عبر رسائل الجوال أو الإيميل.,عديدة، ويتم بعدها رفع بيانات المرشحين لوزارة التعليم لأخذ الموافقات اللازمة وإبلاغ المقبولين,83.74,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
2,كيف أقوم بطلب بنر (سلايدر) رئيسي متحرك على موقع الجامعة؟,رفع الإعلان أو الخبر من خلال مسؤول القطاع. يقوم المركز الإعلامي بالاطلاع على الإعلان أو الخبر المقدم من الجهة من خلال النظام والموافقة عليه. يقوم المركز الإعلامي بالتواصل مع تقنية المعلومات لطلب وضع بنر سلايدر رئيسي على موقع الجامعة مع التزويد برابط الإعلان أو الخبر المطلوب ربطه بالبنر.,على الإعلان أو الخبر المقدم من الجهة من خلال النظام والموافقة عليه. يقوم المركز الإعلامي بالتواصل مع تقنية المعلومات لطلب وضع بنر سلايدر رئيسي على,93.95,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
3,كيف أبحث عن تحويلة موظف؟,عن طريق الدخول إلى دليل المنسوبين في موقع الجامعة تبويب موظفون أو أعضاء هيئة التدريس المزيد من الخدمات، أو الاتصال على سنترال الجامعة . اضغط هنا للدخول على قاعدة المعرفة.,موقع الجامعة تبويب موظفون أو أعضاء هيئة التدريس المزيد من الخدمات، أو الاتصال على سنترال الجامعة,82.87,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
4,أريد إضافة (الصفر) إلى التحويلة؟,إذا كان طالب الخدمة وكيل ة أو رئيس ة قسم : رفع خطاب رسمي إلى عمادة تقنية المعلومات بطلب إضافة الصفر إلى التحويلة مع ذكر كامل البيانات بالإضافة إلى رقم التحويلة وإرفاق قرار التكليف. إذا كان طالب الخدمة موظف ة : رفع خطاب رسمي من وكيل ة القسم إلى عمادة تقنية المعلومات بطلب إضافة الصفر إلى التحويلة مع ذكر كامل البيانات بالإضافة إلى رقم التحويلة فقط.,تقنية المعلومات بطلب إضافة الصفر إلى التحويلة مع ذكر كامل البيانات بالإضافة إلى رقم التحويلة وإرفاق قرار التكليف. إذا كان طالب الخدمة موظف ة : رفع خطاب رسمي من وكيل ة القسم إلى عمادة,93.91,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
5,عند تحديث البيانات في الخدمات الذاتية لا يتم قبول البيانات المدخلة في الحقول التي تحتوي على (مجهر / مكبر)؟,هناك شرح في قاعدة المعرفة الرابط . لابد من تعبئة هذا النوع من الحقول عن طريق الضغط على المجهر المكبر والاختيار من القائمة الموجودة، ومن ثم النقر على انتقال لكي تظهر الخيارات المتاحة.,من تعبئة هذا النوع من الحقول عن طريق الضغط على المجهر المكبر والاختيار من القائمة الموجودة، ومن,71.94,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
6,أريد تغيير كلمة مرور الخدمات الذاتية؟,توجه إلى خدمة استعادة كلمة مرور الخدمات الذاتية الرابط .,خدمة استعادة كلمة مرور الخدمات الذاتية,88.27,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
7,كيف استعيد اسم المستخدم وكلمة مرور الحساب الشبكي؟,يجب عليك مراجعة مكتب خدمة العملاء وإحضار الهوية للتحقق من طالب الحساب، أو الاتصال على خدمة العملاء .,خدمة العملاء وإحضار الهوية للتحقق من طالب الحساب، أو الاتصال,86.36,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
8,كيف أطلب جهاز كمبيوتر؟,يتم طلب جهاز الكمبيوتر بتوجيه خطاب من مدير الإدارة أو العميد أو الوكيل إلى إدارة المستودعات، أو إرسالها إلى بريد إدارة المستودعات: whd taibahu.edu.sa,من مدير الإدارة أو العميد أو الوكيل إلى إدارة المستودعات، أو إرسالها إلى,70.63,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
9,ماهي آلية وشروط الاستفادة من التشغيل الطلابي؟,يتم ترشيح الطلبة المستهدف تشغيلهم خلال الفصل الدراسي عن طريق كلياتهم أو عن طريق وكالات عمادة شؤون الطلاب، بالتنسيق مع إدارة صندوق الطالب بعمادة شؤون الطلاب. ينبغي مراعاة عدم السماح للطالب ــة بالجمع بين فرصتي تشغيل خلال الفصل الدراسي الواحد. ألا تزيد عدد ساعات العمل لكل جهة عن الساعات المحددة. ترسل قوائم تشغيل الطالب ــة لعمادة شؤون الطلاب،,شؤون الطلاب. ينبغي مراعاة عدم السماح للطالب ــة بالجمع بين فرصتي تشغيل خلال الفصل الدراسي الواحد. ألا تزيد عدد ساعات العمل لكل جهة عن الساعات المحددة. ترسل قوائم تشغيل الطالب ــة لعمادة شؤون الطلاب، لاعتمادها وصرف مستحقات الطالب ــة بعد نهاية فترة التشغيل. ترفع كشوف التشغيل بمرفقاتها قبل نهاية الفصل الدراسي,84.58,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
10,ماهي آلية وشروط الاستفادة من القروض الطلابية؟,أن يكون الطالب ــة من طلاب الجامعة المنتظمين خلال الفصل الدراسي الذي تقدم فيه بطلب القرض. أن يكون الطالب ــة من الذين تصرف لهم مكافآت. ألا يقل معدل الطالب ــة التراكمي في الفصل الدراسي عن . من . ألا يكون صدر بحق الطالب ــة عقوبة تأديبية. الحد الأقصى لقيمة القرض ريال،,الفصل الدراسي عن . من . ألا يكون صدر بحق الطالب ــة عقوبة تأديبية. الحد الأقصى لقيمة القرض ريال، وما زاد على ذلك يعرض على إدارة صندوق الطالب. يقسط المبلغ المقترض على أقساط شهرية لا تقل عن ريال في كل شهر. ألا يكون لدى الطالب ــة قرض سابق. تكون المدة المتبقية لدراسة الطالب ــة في الجامعة كافية لتغطية مبلغ القرض المطلوب. يحل موعد سداد كل الأقساط,79.12,مرتفع,pseudo=ملخص/شطر أول من إجابة الـraw؛ generated=إعادة صياغة/شطر مكمّل. local_mode mid_window
