question_id,question,reference_answer,generated_answer,cosine_similarity_pct,classification
1,ماهو نظام القبول في الجامعة وماذا يعني القبول السنوي؟,قبول المنح الداخلية والخارجية يخضع لمعايير عديدة، ويتم بعدها رفع بيانات المرشحين لوزارة التعليم لأخذ الموافقات اللازمة وإبلاغ المقبولين عبر رسائل الجوال أو الإيميل.,يخضع قبول المنح الداخلية والخارجية لعدة معايير، يتم بعدها تقديم بيانات المرشحين إلى وزارة التربية والتعليم للحصول على الموافقات اللازمة وإبلاغ المقبولين عبر رسائل الجوال أو البريد الإلكتروني.,36.49,متوسط
2,كيف أقوم بطلب بنر (سلايدر) رئيسي متحرك على موقع الجامعة؟,"رفع الإعلان أو الخبر من خلال مسؤول القطاع.
يقوم المركز الإعلامي بالاطلاع على الإعلان أو الخبر المقدم من الجهة من خلال النظام والموافقة عليه.
يقوم المركز الإعلامي بالتواصل مع تقنية المعلومات لطلب وضع بنر (سلايدر) رئيسي على موقع الجامعة مع التزويد برابط الإعلان أو الخبر المطلوب ربطه بالبنر.",تقديم الإعلان أو الخبر من خلال مسؤول القطاع. يقوم المركز الإعلامي بمراجعة الإعلان أو الخبر المقدم من الجهة عبر النظام والموافقة عليه. يقوم المركز الإعلامي بالاتصال بتكنولوجيا المعلومات لطلب وضع لافتة رئيسية (سلايدر) على موقع الجامعة مع توفير رابط للإعلان أو الخبر المراد ربطه باللافتة.,61.72,مرتفع
3,كيف أبحث عن تحويلة موظف؟,"عن طريق الدخول إلى ""دليل المنسوبين"" في موقع الجامعة – تبويب موظفون أو أعضاء هيئة التدريس – المزيد من الخدمات، أو الاتصال على سنترال الجامعة (8888).
اضغط هنا للدخول على قاعدة المعرفة.","من خلال الدخول على ""دليل الموظفين"" بموقع الجامعة - تبويب الموظفين أو أعضاء هيئة التدريس - المزيد من الخدمات، أو عن طريق الاتصال على مركز الجامعة (8888). انقر هنا للوصول إلى قاعدة المعرفة.",45.28,متوسط
4,أريد إضافة (الصفر) إلى التحويلة؟,"إذا كان طالب الخدمة (وكيل/ة أو رئيس/ة قسم):
رفع خطاب رسمي إلى عمادة تقنية المعلومات بطلب إضافة (الصفر) إلى التحويلة مع ذكر كامل البيانات بالإضافة إلى رقم التحويلة وإرفاق قرار التكليف.
إذا كان طالب الخدمة (موظف/ة):
رفع خطاب رسمي من وكيل/ة القسم إلى عمادة تقنية المعلومات بطلب إضافة (الصفر) إلى التحويلة مع ذكر كامل البيانات بالإضافة إلى رقم التحويلة فقط.",إذا كان طالب الخدمة (وكيل أو رئيس قسم): تقديم كتاب رسمي إلى عمادة تقنية المعلومات بطلب إضافة (صفر) للتحويل، مع ذكر كافة البيانات بالإضافة إلى رقم التحويل، وإرفاق قرار الندب. إذا كان طالب الخدمة موظفاً: تقديم كتاب رسمي من ممثل القسم إلى عمادة تقنية المعلومات بطلب إضافة (صفر) للتحويل مع ذكر كافة البيانات بالإضافة إلى رقم التحويل فقط.,48.31,متوسط
5,عند تحديث البيانات في الخدمات الذاتية لا يتم قبول البيانات المدخلة في الحقول التي تحتوي على (مجهر / مكبر)؟,"هناك شرح في قاعدة المعرفة (الرابط).
لابد من تعبئة هذا النوع من الحقول عن طريق الضغط على (المجهر/المكبر) والاختيار من القائمة الموجودة، ومن ثم النقر على (انتقال) لكي تظهر الخيارات المتاحة.",يوجد شرح في قاعدة المعرفة (رابط). ويجب تعبئة هذا النوع من الحقول من خلال الضغط على (المجهر/المكبر) والاختيار من القائمة الموجودة، ثم الضغط على (انتقال) لتظهر الخيارات المتاحة.,54.14,متوسط
6,أريد تغيير كلمة مرور الخدمات الذاتية؟,توجه إلى خدمة استعادة كلمة مرور الخدمات الذاتية (الرابط).,انتقل إلى خدمة استعادة كلمة المرور بالخدمة الذاتية (الرابط).,46.46,متوسط
7,كيف استعيد اسم المستخدم وكلمة مرور الحساب الشبكي؟,يجب عليك مراجعة مكتب خدمة العملاء وإحضار الهوية للتحقق من طالب الحساب، أو الاتصال على خدمة العملاء (8080).,يجب عليك زيارة مكتب خدمة العملاء وإحضار الهوية الخاصة بك للتحقق من طالب الحساب، أو الاتصال بخدمة العملاء (8080).,61.51,مرتفع
8,كيف أطلب جهاز كمبيوتر؟,"يتم طلب جهاز الكمبيوتر بتوجيه خطاب من مدير الإدارة أو العميد أو الوكيل إلى إدارة المستودعات، أو إرسالها إلى بريد إدارة المستودعات:
whd@taibahu.edu.sa",يتم طلب الحاسوب عن طريق إرسال خطاب من مدير القسم أو العميد أو الوكيل إلى إدارة المستودعات أو إرساله إلى بريد إدارة المستودعات: whd@taibahu.edu.sa,54.99,متوسط
9,ماهي آلية وشروط الاستفادة من التشغيل الطلابي؟,"يتم ترشيح الطلبة المستهدف تشغيلهم خلال الفصل الدراسي عن طريق كلياتهم أو عن طريق وكالات عمادة شؤون الطلاب، بالتنسيق مع إدارة صندوق الطالب بعمادة شؤون الطلاب.
ينبغي مراعاة عدم السماح للطالب/ــة بالجمع بين فرصتي تشغيل خلال الفصل الدراسي الواحد.
ألا تزيد عدد ساعات العمل لكل جهة عن الساعات المحددة.
ترسل قوائم تشغيل الطالب/ــة لعمادة شؤون الطلاب، لاعتمادها وصرف مستحقات الطالب/ــة بعد نهاية فترة التشغيل.
ترفع كشوف التشغيل بمرفقاتها قبل نهاية الفصل الدراسي بأسبوعين، علماً بأن تأخر الرفع يترتب عليه تأخير صرف المستحقات للفصل الذي يليه.
يحق للطالب/ــة التشغيل بالفصل الدراسي شهرين فقط حسب الضوابط المحددة.",يتم ترشيح الطلاب الراغبين في التوظيف خلال الفصل الدراسي عن طريق كلياتهم أو عن طريق وكالات عمادة شؤون الطلاب، بالتنسيق مع إدارة صندوق الطلاب في عمادة شؤون الطلاب. ويجب مراعاة عدم السماح للطالب بالجمع بين فرصتين وظيفيتين خلال الفصل الدراسي الواحد. ألا يزيد عدد ساعات العمل لكل جهة عن الساعات المحددة. يتم إرسال قوائم توظيف الطالب إلى عمادة شؤون الطلاب لاعتمادها وصرف مستحقات الطالب بعد انتهاء فترة التوظيف. يتم تقديم كشوفات التوظيف ومرفقاتها قبل نهاية الفصل الدراسي بأسبوعين، علماً أن التأخير في التحميل سيؤدي إلى تأخير صرف المستحقات للفصل الدراسي التالي. يحق للطالب العمل خلال الفصل الدراسي لمدة شهرين فقط، وفق الضوابط المحددة.,47.33,متوسط
10,ماهي آلية وشروط الاستفادة من القروض الطلابية؟,"أن يكون الطالب/ــة من طلاب الجامعة المنتظمين خلال الفصل الدراسي الذي تقدم فيه بطلب القرض.
أن يكون الطالب/ــة من الذين تصرف لهم مكافآت.
ألا يقل معدل الطالب/ــة التراكمي في الفصل الدراسي عن 2.50 من 5.
ألا يكون صدر بحق الطالب/ــة عقوبة تأديبية.
الحد الأقصى لقيمة القرض 1000 ريال، وما زاد على ذلك يعرض على إدارة صندوق الطالب.
يقسط المبلغ المقترض على أقساط شهرية لا تقل عن 250 ريال في كل شهر.
ألا يكون لدى الطالب/ــة قرض سابق.
تكون المدة المتبقية لدراسة الطالب/ــة في الجامعة كافية لتغطية مبلغ القرض المطلوب.
يحل موعد سداد كل الأقساط المتبقية دفعة واحدة إذا انتهت علاقة الطالب/ــة بالجامعة سواء بالانسحاب أو التخرج أو الفصل.
في حالة طلب القرض لتأمين جهاز تعليمي، يتم إرفاق عرض بسعر الجهاز المطلوب مصدق من المؤسسة التجارية.",أن يكون الطالب طالباً جامعياً منتظماً خلال الفصل الدراسي الذي يتقدم فيه بطلب الحصول على القرض. أن يكون الطالب ممن تصرف لهم المكافآت. أن لا يقل المعدل التراكمي للطالب في الفصل عن 2.50 من 5. - ألا يكون الطالب قد تعرض لعقوبة تأديبية. الحد الأقصى لقيمة القرض هو 1000 ريال، وأي زيادة عن ذلك يتم تقديمها إلى إدارة صندوق الطلاب. يتم سداد المبلغ المقترض على أقساط شهرية لا تقل عن 250 ريال كل شهر. أن لا يكون لدى الطالب قرض سابق. المدة المتبقية من دراسة الطالب في الجامعة كافية لتغطية مبلغ القرض المطلوب. ويتم سداد جميع الأقساط المتبقية دفعة واحدة في حالة انتهاء علاقة الطالب بالجامعة، سواء بالانسحاب أو التخرج أو الطرد. في حال طلب القرض لتأمين جهاز تعليمي، يتم إرفاق عرض بسعر الجهاز المطلوب معتمد من المؤسسة التجارية.,49.34,متوسط
