question_id,cosine_similarity_pct,correctness_score,completeness_score,clarity_score,overall_quality_score,evaluation_note
1,64.82,3.4,5.0,4.0,4.13,تقدير إجمالي جيد: اتساق ومعالجة معقولة
2,66.28,3.5,5.0,4.0,4.17,تقدير إجمالي جيد: اتساق ومعالجة معقولة
3,64.69,3.4,5.0,4.0,4.13,تقدير إجمالي جيد: اتساق ومعالجة معقولة
4,63.03,3.3,5.0,4.0,4.1,تقدير إجمالي جيد: اتساق ومعالجة معقولة
5,73.22,3.8,5.0,4.0,4.27,تقدير إجمالي جيد: اتساق ومعالجة معقولة
6,71.53,3.7,5.0,4.0,4.23,تقدير إجمالي جيد: اتساق ومعالجة معقولة
7,73.78,3.8,5.0,4.0,4.27,تقدير إجمالي جيد: اتساق ومعالجة معقولة
8,60.29,3.2,5.0,4.0,4.07,تقدير إجمالي جيد: اتساق ومعالجة معقولة
9,68.72,3.6,5.0,4.0,4.2,تقدير إجمالي جيد: اتساق ومعالجة معقولة
10,57.31,3.1,5.0,4.0,4.03,تقدير إجمالي جيد: اتساق ومعالجة معقولة
11,63.01,3.3,5.0,4.0,4.1,تقدير إجمالي جيد: اتساق ومعالجة معقولة
12,73.63,3.8,5.0,4.0,4.27,تقدير إجمالي جيد: اتساق ومعالجة معقولة
13,53.83,2.9,5.0,4.0,3.97,تقدير إجمالي جيد: اتساق ومعالجة معقولة
14,71.07,3.7,5.0,4.0,4.23,تقدير إجمالي جيد: اتساق ومعالجة معقولة
15,85.26,4.3,5.0,4.0,4.43,تقدير إجمالي جيد: اتساق ومعالجة معقولة
16,63.89,3.4,5.0,4.0,4.13,تقدير إجمالي جيد: اتساق ومعالجة معقولة
17,74.59,3.9,5.0,4.0,4.3,تقدير إجمالي جيد: اتساق ومعالجة معقولة
18,60.19,3.2,5.0,4.0,4.07,تقدير إجمالي جيد: اتساق ومعالجة معقولة
19,61.58,3.3,5.0,4.0,4.1,تقدير إجمالي جيد: اتساق ومعالجة معقولة
20,71.62,3.7,5.0,4.0,4.23,تقدير إجمالي جيد: اتساق ومعالجة معقولة
21,71.07,3.7,5.0,4.0,4.23,تقدير إجمالي جيد: اتساق ومعالجة معقولة
22,33.91,2.0,5.0,4.0,3.67,تقدير إجمالي جيد: اتساق ومعالجة معقولة
23,71.05,3.7,5.0,4.0,4.23,تقدير إجمالي جيد: اتساق ومعالجة معقولة
24,73.95,3.8,5.0,4.0,4.27,تقدير إجمالي جيد: اتساق ومعالجة معقولة
25,60.84,3.2,5.0,4.0,4.07,تقدير إجمالي جيد: اتساق ومعالجة معقولة
26,70.49,3.7,5.0,4.0,4.23,تقدير إجمالي جيد: اتساق ومعالجة معقولة
27,73.81,3.8,5.0,4.0,4.27,تقدير إجمالي جيد: اتساق ومعالجة معقولة
28,72.62,3.8,5.0,4.0,4.27,تقدير إجمالي جيد: اتساق ومعالجة معقولة
29,74.45,3.9,5.0,4.0,4.3,تقدير إجمالي جيد: اتساق ومعالجة معقولة
30,75.08,3.9,5.0,4.0,4.3,تقدير إجمالي جيد: اتساق ومعالجة معقولة
31,61.71,3.3,5.0,4.0,4.1,تقدير إجمالي جيد: اتساق ومعالجة معقولة
32,73.23,3.8,5.0,4.0,4.27,تقدير إجمالي جيد: اتساق ومعالجة معقولة
33,73.73,3.8,5.0,4.0,4.27,تقدير إجمالي جيد: اتساق ومعالجة معقولة
34,92.59,4.7,5.0,4.0,4.57,تقدير إجمالي جيد: اتساق ومعالجة معقولة
35,78.77,4.0,4.5,3.5,4.0,تقدير إجمالي جيد: اتساق ومعالجة معقولة
36,72.62,3.8,4.5,4.0,4.1,تقدير إجمالي جيد: اتساق ومعالجة معقولة
37,79.14,4.1,4.5,3.5,4.03,تقدير إجمالي جيد: اتساق ومعالجة معقولة
38,79.14,4.1,4.5,3.5,4.03,تقدير إجمالي جيد: اتساق ومعالجة معقولة
39,79.14,4.1,4.5,3.5,4.03,تقدير إجمالي جيد: اتساق ومعالجة معقولة
40,78.77,4.0,4.5,3.5,4.0,تقدير إجمالي جيد: اتساق ومعالجة معقولة
41,42.43,2.4,5.0,4.0,3.8,تقدير إجمالي جيد: اتساق ومعالجة معقولة
42,67.62,3.5,5.0,4.0,4.17,تقدير إجمالي جيد: اتساق ومعالجة معقولة
43,49.02,2.7,5.0,4.0,3.9,تقدير إجمالي جيد: اتساق ومعالجة معقولة
44,71.49,3.7,5.0,4.0,4.23,تقدير إجمالي جيد: اتساق ومعالجة معقولة
45,41.78,2.4,5.0,4.0,3.8,تقدير إجمالي جيد: اتساق ومعالجة معقولة
46,20.87,1.4,5.0,4.0,3.47,تقدير إجمالي جيد: اتساق ومعالجة معقولة
47,74.11,3.8,5.0,4.0,4.27,تقدير إجمالي جيد: اتساق ومعالجة معقولة
48,66.48,3.5,5.0,4.0,4.17,تقدير إجمالي جيد: اتساق ومعالجة معقولة
49,48.12,2.7,5.0,4.0,3.9,تقدير إجمالي جيد: اتساق ومعالجة معقولة
50,53.2,2.9,5.0,4.0,3.97,تقدير إجمالي جيد: اتساق ومعالجة معقولة
51,67.04,3.5,5.0,4.0,4.17,تقدير إجمالي جيد: اتساق ومعالجة معقولة
52,19.7,1.4,5.0,4.0,3.47,تقدير إجمالي جيد: اتساق ومعالجة معقولة
53,70.58,3.7,5.0,4.0,4.23,تقدير إجمالي جيد: اتساق ومعالجة معقولة
54,73.57,3.8,5.0,4.0,4.27,تقدير إجمالي جيد: اتساق ومعالجة معقولة
55,72.46,3.8,5.0,4.0,4.27,تقدير إجمالي جيد: اتساق ومعالجة معقولة
56,67.38,3.5,5.0,4.0,4.17,تقدير إجمالي جيد: اتساق ومعالجة معقولة
57,73.06,3.8,5.0,4.0,4.27,تقدير إجمالي جيد: اتساق ومعالجة معقولة
58,27.88,1.8,5.0,4.0,3.6,تقدير إجمالي جيد: اتساق ومعالجة معقولة
